WIFI DATA 


Scanning: Stue

SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:72
ResultLevel: -84
Frequency: 2462
Timestamp: 418874459734


SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:73
ResultLevel: -90
Frequency: 5180
Timestamp: 418874875824


SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:2b
ResultLevel: -87
Frequency: 5180
Timestamp: 418874864904


SSID: tornebakkepigen
BSSID: 28:9e:fc:08:d3:9a
ResultLevel: -90
Frequency: 2422
Timestamp: 418873403081


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -47
Frequency: 5280
Timestamp: 418876355316


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -52
Frequency: 2432
Timestamp: 418878995793


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -59
Frequency: 2412
Timestamp: 418873231380


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -60
Frequency: 2452
Timestamp: 418874350838


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -79
Frequency: 5240
Timestamp: 418875172233


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -52
Frequency: 5260
Timestamp: 418876150936


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -78
Frequency: 5240
Timestamp: 418875176334


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -47
Frequency: 5280
Timestamp: 418876334338


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -84
Frequency: 2462
Timestamp: 418874485542


SSID: DIRECT-reC48x Series
BSSID: 86:25:19:77:df:e2
ResultLevel: -87
Frequency: 2437
Timestamp: 418873828952


************** 

Scanning: Stue

SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:73
ResultLevel: -91
Frequency: 5180
Timestamp: 418880876653


SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:2a
ResultLevel: -84
Frequency: 2437
Timestamp: 418879772983


SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:2b
ResultLevel: -88
Frequency: 5180
Timestamp: 418880874767


SSID: ADpKTvsM
BSSID: b8:d9:4d:67:05:76
ResultLevel: -87
Frequency: 2412
Timestamp: 418879263876


SSID: tornebakkepigen
BSSID: 28:9e:fc:08:d3:9a
ResultLevel: -90
Frequency: 2422
Timestamp: 418879485170


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -44
Frequency: 5280
Timestamp: 418882805707


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -51
Frequency: 2432
Timestamp: 418885549545


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -60
Frequency: 2452
Timestamp: 418880408630


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -87
Frequency: 2412
Timestamp: 418879261275


SSID: Zyxel_E3B1
