WIFI DATA 


Scanning: Stue

SSID: ADpKTvsM_5GHz
BSSID: b8:d9:4d:67:05:77
ResultLevel: -91
Frequency: 5560
Timestamp: 124803753142


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -35
Frequency: 5280
Timestamp: 124802703324


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -41
Frequency: 2422
Timestamp: 124805139450


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -58
Frequency: 2447
Timestamp: 124800815795


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -61
Frequency: 2412
Timestamp: 124799889641


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -78
Frequency: 5200
Timestamp: 124801481207


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -34
Frequency: 5280
Timestamp: 124802681820


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -71
Frequency: 5260
Timestamp: 124802552026


************** 

Scanning: Stue

SSID: ADpKTvsM_5GHz
BSSID: b8:d9:4d:67:05:77
ResultLevel: -92
Frequency: 5560
Timestamp: 124809385426


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -72
Frequency: 2462
Timestamp: 124806452347


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -35
Frequency: 5280
Timestamp: 124808232798


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -44
Frequency: 2422
Timestamp: 124810873106


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -60
Frequency: 2447
Timestamp: 124806243870


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -63
Frequency: 2412
Timestamp: 124805529887


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -74
Frequency: 5200
Timestamp: 124806924832


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -36
Frequency: 5280
Timestamp: 124808211759


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -74
Frequency: 5260
Timestamp: 124808084999


************** 

Scanning: Stue

SSID: ADpKTvsM_5GHz
BSSID: b8:d9:4d:67:05:77
ResultLevel: -93
Frequency: 5560
Timestamp: 124815324632


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -40
Frequency: 5280
Timestamp: 124814172717


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -43
Frequency: 2422
Timestamp: 124816712074


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -59
Frequency: 2412
Timestamp: 124811259825


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -60
Frequency: 2447
Timestamp: 124812071024


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -79
Frequency: 5200
Timestamp: 124812766551


SSID: 
