****************** SVM3 ******************
Antal minutter:  45

Nøjagtighed egen dataindsamling
Morgen: 89.07 procent
Aften: 89.63 procent

Nøjagtighed anden dag
Morgen: 77.60 procent
Aften: 81.44 procent

Nøjagtighed andet tidspunkt
Morgen: 79.55 procent
Aften: 80.04 procent

****************** SVM3 ******************
Antal minutter:  30

Nøjagtighed egen dataindsamling
Morgen: 88.04 procent
Aften: 87.72 procent

Nøjagtighed anden dag
Morgen: 77.88 procent
Aften: 83.18 procent

Nøjagtighed andet tidspunkt
Morgen: 79.73 procent
Aften: 78.62 procent

****************** SVM3 ******************
Antal minutter:  15

Nøjagtighed egen dataindsamling
Morgen: 85.07 procent
Aften: 87.03 procent

Nøjagtighed anden dag
Morgen: 77.60 procent
Aften: 82.41 procent

Nøjagtighed andet tidspunkt
Morgen: 79.77 procent
Aften: 78.08 procent

****************** SVM3 ******************
Antal minutter:  10

Nøjagtighed egen dataindsamling
Morgen: 84.10 procent
Aften: 85.15 procent

Nøjagtighed anden dag
Morgen: 75.22 procent
Aften: 81.37 procent

Nøjagtighed andet tidspunkt
Morgen: 79.97 procent
Aften: 77.49 procent

****************** SVM3 ******************
Antal minutter:  5

Nøjagtighed egen dataindsamling
Morgen: 81.16 procent
Aften: 82.96 procent

Nøjagtighed anden dag
Morgen: 75.66 procent
Aften: 81.73 procent

Nøjagtighed andet tidspunkt
Morgen: 78.38 procent
Aften: 72.92 procent

****************** SVM4 ******************
Antal minutter:  45

Nøjagtighed egen dataindsamling
Morgen: 79.64 procent
Aften: 79.15 procent

Nøjagtighed anden dag
Morgen: 63.25 procent
Aften: 64.21 procent

Nøjagtighed andet tidspunkt
Morgen: 61.54 procent
Aften: 63.78 procent

****************** SVM4 ******************
Antal minutter:  30

Nøjagtighed egen dataindsamling
Morgen: 79.08 procent
Aften: 77.11 procent

Nøjagtighed anden dag
Morgen: 64.19 procent
Aften: 64.96 procent

Nøjagtighed andet tidspunkt
Morgen: 63.33 procent
Aften: 65.86 procent

****************** SVM4 ******************
Antal minutter:  15

Nøjagtighed egen dataindsamling
Morgen: 75.50 procent
Aften: 74.09 procent

Nøjagtighed anden dag
Morgen: 63.31 procent
Aften: 66.50 procent

Nøjagtighed andet tidspunkt
Morgen: 64.87 procent
Aften: 63.93 procent

****************** SVM4 ******************
Antal minutter:  10

Nøjagtighed egen dataindsamling
Morgen: 73.91 procent
Aften: 71.30 procent

Nøjagtighed anden dag
Morgen: 63.42 procent
Aften: 64.80 procent

Nøjagtighed andet tidspunkt
Morgen: 63.21 procent
Aften: 62.00 procent

****************** SVM4 ******************
Antal minutter:  5

Nøjagtighed egen dataindsamling
Morgen: 68.92 procent
Aften: 65.89 procent

Nøjagtighed anden dag
Morgen: 60.38 procent
Aften: 63.32 procent

Nøjagtighed andet tidspunkt
Morgen: 62.23 procent
Aften: 61.70 procent

****************** NN3-B ******************
Antal minutter:  45

Nøjagtighed egen dataindsamling
Morgen: 74.27 procent
5-fraktil morgen: 54.92 procent
Aften: 77.85 procent
5-fraktil aften: 69.81 procent

Nøjagtighed anden dag
Morgen: 65.35 procent
5-fraktil morgen: 56.43 procent
Aften: 71.93 procent
5-fraktil aften: 64.74 procent

Nøjagtighed andet tidspunkt
Morgen: 66.80 procent
5-fraktil morgen: 54.17 procent
Aften: 63.18 procent
5-fraktil aften: 67.02 procent

****************** NN3-B ******************
Antal minutter:  30

Nøjagtighed egen dataindsamling
Morgen: 60.48 procent
5-fraktil morgen: 55.90 procent
Aften: 66.51 procent
5-fraktil aften: 52.22 procent

Nøjagtighed anden dag
Morgen: 53.82 procent
5-fraktil morgen: 55.90 procent
Aften: 61.05 procent
5-fraktil aften: 52.22 procent

Nøjagtighed andet tidspunkt
Morgen: 56.73 procent
5-fraktil morgen: 55.88 procent
Aften: 55.23 procent
5-fraktil aften: 52.22 procent

****************** NN3-B ******************
Antal minutter:  15

Nøjagtighed egen dataindsamling
Morgen: 53.74 procent
5-fraktil morgen: 49.97 procent
Aften: 61.02 procent
5-fraktil aften: 48.43 procent

Nøjagtighed anden dag
Morgen: 50.50 procent
5-fraktil morgen: 49.97 procent
Aften: 58.08 procent
5-fraktil aften: 48.47 procent

Nøjagtighed andet tidspunkt
Morgen: 51.18 procent
5-fraktil morgen: 49.97 procent
Aften: 52.99 procent
5-fraktil aften: 48.73 procent

****************** NN3-B ******************
Antal minutter:  10

Nøjagtighed egen dataindsamling
Morgen: 50.91 procent
5-fraktil morgen: 42.00 procent
Aften: 60.18 procent
5-fraktil aften: 48.03 procent

Nøjagtighed anden dag
Morgen: 46.95 procent
5-fraktil morgen: 42.00 procent
Aften: 57.08 procent
5-fraktil aften: 48.03 procent

Nøjagtighed andet tidspunkt
Morgen: 49.05 procent
5-fraktil morgen: 43.92 procent
Aften: 54.14 procent
5-fraktil aften: 47.20 procent

****************** NN3-B ******************
Antal minutter:  5

Nøjagtighed egen dataindsamling
Morgen: 46.11 procent
5-fraktil morgen: 42.56 procent
Aften: 51.10 procent
5-fraktil aften: 45.76 procent

Nøjagtighed anden dag
Morgen: 45.16 procent
5-fraktil morgen: 42.56 procent
Aften: 47.64 procent
5-fraktil aften: 45.42 procent

Nøjagtighed andet tidspunkt
Morgen: 45.86 procent
5-fraktil morgen: 42.56 procent
Aften: 46.22 procent
5-fraktil aften: 45.42 procent

****************** NN3-UB ******************
Antal minutter:  45

Nøjagtighed egen dataindsamling
Morgen: 71.88 procent
5-fraktil morgen: 56.84 procent
Aften: 73.76 procent
5-fraktil aften: 60.70 procent

Nøjagtighed anden dag
Morgen: 64.75 procent
5-fraktil morgen: 56.99 procent
Aften: 68.37 procent
5-fraktil aften: 56.80 procent

Nøjagtighed andet tidspunkt
Morgen: 67.43 procent
5-fraktil morgen: 55.59 procent
Aften: 60.79 procent
5-fraktil aften: 59.89 procent

****************** NN3-UB ******************
Antal minutter:  30

Nøjagtighed egen dataindsamling
Morgen: 68.23 procent
5-fraktil morgen: 58.74 procent
Aften: 69.98 procent
5-fraktil aften: 54.87 procent

Nøjagtighed anden dag
Morgen: 62.13 procent
5-fraktil morgen: 58.74 procent
Aften: 64.02 procent
5-fraktil aften: 54.87 procent

Nøjagtighed andet tidspunkt
Morgen: 63.04 procent
5-fraktil morgen: 58.74 procent
Aften: 58.60 procent
5-fraktil aften: 50.96 procent

****************** NN3-UB ******************
Antal minutter:  15

Nøjagtighed egen dataindsamling
Morgen: 60.36 procent
5-fraktil morgen: 49.63 procent
Aften: 56.39 procent
5-fraktil aften: 50.86 procent

Nøjagtighed anden dag
Morgen: 56.98 procent
5-fraktil morgen: 49.63 procent
Aften: 54.11 procent
5-fraktil aften: 50.86 procent

Nøjagtighed andet tidspunkt
Morgen: 58.17 procent
5-fraktil morgen: 50.44 procent
Aften: 50.84 procent
5-fraktil aften: 50.86 procent

****************** NN3-UB ******************
Antal minutter:  10

Nøjagtighed egen dataindsamling
Morgen: 51.04 procent
5-fraktil morgen: 47.81 procent
Aften: 54.82 procent
5-fraktil aften: 48.78 procent

Nøjagtighed anden dag
Morgen: 47.46 procent
5-fraktil morgen: 47.90 procent
Aften: 52.25 procent
5-fraktil aften: 48.78 procent

Nøjagtighed andet tidspunkt
Morgen: 50.83 procent
5-fraktil morgen: 48.28 procent
Aften: 48.45 procent
5-fraktil aften: 49.26 procent

****************** NN3-UB ******************
Antal minutter:  5

Nøjagtighed egen dataindsamling
Morgen: 50.49 procent
5-fraktil morgen: 46.42 procent
Aften: 54.51 procent
5-fraktil aften: 48.85 procent

Nøjagtighed anden dag
Morgen: 47.70 procent
5-fraktil morgen: 46.42 procent
Aften: 52.30 procent
5-fraktil aften: 48.85 procent

Nøjagtighed andet tidspunkt
Morgen: 49.99 procent
5-fraktil morgen: 46.42 procent
Aften: 48.69 procent
5-fraktil aften: 48.85 procent

****************** NN4-UB ******************
Antal minutter:  45

Nøjagtighed egen dataindsamling
Morgen: 61.48 procent
5-fraktil morgen: 45.04 procent
Aften: 68.22 procent
5-fraktil aften: 58.69 procent

Nøjagtighed anden dag
Morgen: 48.64 procent
5-fraktil morgen: 44.20 procent
Aften: 50.60 procent
5-fraktil aften: 58.69 procent

Nøjagtighed andet tidspunkt
Morgen: 48.24 procent
