WIFI DATA 


Scanning: Kontor

SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -73
Frequency: 5240
Timestamp: 709811924413


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -60
Frequency: 2432
Timestamp: 709815840887


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -64
Frequency: 2412
Timestamp: 709809868742


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -72
Frequency: 2447
Timestamp: 709810759407


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -88
Frequency: 5280
Timestamp: 709813105778


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -85
Frequency: 5260
Timestamp: 709812883884


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -68
Frequency: 2422
Timestamp: 709809836045


SSID: HomeBox-3AE0_2.4G
BSSID: 44:e9:dd:92:3a:e6
ResultLevel: -76
Frequency: 2437
Timestamp: 709810459389


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -89
Frequency: 5280
Timestamp: 709813117972


SSID: WifiD0A0
BSSID: b0:bb:e5:ff:d0:a6
ResultLevel: -74
Frequency: 2437
Timestamp: 709810464064


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -88
Frequency: 5180
Timestamp: 709811509439


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -64
Frequency: 2462
Timestamp: 709811321954


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:61
ResultLevel: -88
Frequency: 5180
Timestamp: 709811508485


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:5d
ResultLevel: -74
Frequency: 2452
Timestamp: 709810900102


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -83
Frequency: 5560
Timestamp: 709814283222


SSID: Telenor4233nok
BSSID: 98:77:e7:f0:8d:4c
ResultLevel: -78
Frequency: 2412
Timestamp: 709809660533


************** 

Scanning: Kontor

SSID: CableBox-0936
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -77
Frequency: 2437
Timestamp: 709816724147


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -74
Frequency: 5240
Timestamp: 709818230328


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -60
Frequency: 2432
Timestamp: 709821983627


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -63
Frequency: 2412
Timestamp: 709816127063


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -72
Frequency: 2447
Timestamp: 709817031407


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -84
Frequency: 5260
Timestamp: 709819437542


SSID: WiFimodem-06CE
BSSID: 6c:ba:b8:ee:06:d3
ResultLevel: -81
Frequency: 2462
Timestamp: 709817332439


